2025-05-31 07:37:07,570 - Epoch 47/400, Loss: 0.7971, Train Acc: 0.5802, Val Acc: 0.6166
2025-05-31 07:37:45,371 - Epoch 48/400, Loss: 0.7920, Train Acc: 0.5857, Val Acc: 0.6219
2025-05-31 07:38:23,099 - Epoch 49/400, Loss: 0.7827, Train Acc: 0.5865, Val Acc: 0.6272
2025-05-31 07:39:00,734 - Epoch 50/400, Loss: 0.7841, Train Acc: 0.5901, Val Acc: 0.6099
2025-05-31 07:39:38,437 - Epoch 51/400, Loss: 0.7821, Train Acc: 0.5938, Val Acc: 0.6343
2025-05-31 07:40:16,095 - Epoch 52/400, Loss: 0.7758, Train Acc: 0.5974, Val Acc: 0.6321
2025-05-31 07:40:54,275 - Epoch 53/400, Loss: 0.7753, Train Acc: 0.5967, Val Acc: 0.6179
2025-05-31 07:41:31,846 - Epoch 54/400, Loss: 0.7707, Train Acc: 0.5945, Val Acc: 0.6272
2025-05-31 07:42:09,827 - Epoch 55/400, Loss: 0.7675, Train Acc: 0.6015, Val Acc: 0.6303
2025-05-31 07:42:47,758 - Epoch 56/400, Loss: 0.7671, Train Acc: 0.6000, Val Acc: 0.6161
2025-05-31 07:43:25,438 - Epoch 57/400, Loss: 0.7627, Train Acc: 0.6031, Val Acc: 0.6250
2025-05-31 07:44:03,040 - Epoch 58/400, Loss: 0.7628, Train Acc: 0.6046, Val Acc: 0.6294
2025-05-31 07:44:40,571 - Epoch 59/400, Loss: 0.7604, Train Acc: 0.6063, Val Acc: 0.6277
2025-05-31 07:45:18,465 - Epoch 60/400, Loss: 0.7530, Train Acc: 0.6103, Val Acc: 0.6237
2025-05-31 07:45:56,429 - Epoch 61/400, Loss: 0.7535, Train Acc: 0.6054, Val Acc: 0.6188
2025-05-31 07:46:34,033 - Epoch 62/400, Loss: 0.7554, Train Acc: 0.6062, Val Acc: 0.6312
2025-05-31 07:47:11,745 - Epoch 63/400, Loss: 0.7581, Train Acc: 0.6017, Val Acc: 0.6250
2025-05-31 07:47:49,334 - Epoch 64/400, Loss: 0.7500, Train Acc: 0.6146, Val Acc: 0.6281
2025-05-31 07:48:26,943 - Epoch 65/400, Loss: 0.7464, Train Acc: 0.6104, Val Acc: 0.6379
2025-05-31 07:49:04,772 - Epoch 66/400, Loss: 0.7483, Train Acc: 0.6076, Val Acc: 0.6414
2025-05-31 07:49:42,612 - Epoch 67/400, Loss: 0.7422, Train Acc: 0.6181, Val Acc: 0.6374
2025-05-31 07:50:20,631 - Epoch 68/400, Loss: 0.7379, Train Acc: 0.6162, Val Acc: 0.6299
2025-05-31 07:50:58,536 - Epoch 69/400, Loss: 0.7342, Train Acc: 0.6246, Val Acc: 0.6348
2025-05-31 07:51:36,337 - Epoch 70/400, Loss: 0.7299, Train Acc: 0.6236, Val Acc: 0.6387
2025-05-31 07:52:14,109 - Epoch 71/400, Loss: 0.7340, Train Acc: 0.6160, Val Acc: 0.6494
2025-05-31 07:52:52,065 - Epoch 72/400, Loss: 0.7305, Train Acc: 0.6199, Val Acc: 0.6379
2025-05-31 07:53:29,794 - Epoch 73/400, Loss: 0.7258, Train Acc: 0.6236, Val Acc: 0.6401
2025-05-31 07:54:07,339 - Epoch 74/400, Loss: 0.7255, Train Acc: 0.6256, Val Acc: 0.6374
2025-05-31 07:54:44,870 - Epoch 75/400, Loss: 0.7217, Train Acc: 0.6251, Val Acc: 0.6467
2025-05-31 07:55:22,771 - Epoch 76/400, Loss: 0.7270, Train Acc: 0.6213, Val Acc: 0.6436
2025-05-31 07:56:00,475 - Epoch 77/400, Loss: 0.7178, Train Acc: 0.6285, Val Acc: 0.6480
2025-05-31 07:56:38,534 - Epoch 78/400, Loss: 0.7208, Train Acc: 0.6321, Val Acc: 0.6423
2025-05-31 07:57:16,371 - Epoch 79/400, Loss: 0.7185, Train Acc: 0.6264, Val Acc: 0.6467
2025-05-31 07:57:54,284 - Epoch 80/400, Loss: 0.7171, Train Acc: 0.6298, Val Acc: 0.6410
2025-05-31 07:58:32,105 - Epoch 81/400, Loss: 0.7168, Train Acc: 0.6299, Val Acc: 0.6498
2025-05-31 07:59:09,740 - Epoch 82/400, Loss: 0.7148, Train Acc: 0.6321, Val Acc: 0.6392
2025-05-31 07:59:47,347 - Epoch 83/400, Loss: 0.7100, Train Acc: 0.6333, Val Acc: 0.6538
2025-05-31 08:00:24,983 - Epoch 84/400, Loss: 0.7053, Train Acc: 0.6403, Val Acc: 0.6485
2025-05-31 08:01:02,544 - Epoch 85/400, Loss: 0.7036, Train Acc: 0.6369, Val Acc: 0.6529
2025-05-31 08:01:40,245 - Epoch 86/400, Loss: 0.7031, Train Acc: 0.6384, Val Acc: 0.6498
2025-05-31 08:02:18,070 - Epoch 87/400, Loss: 0.7032, Train Acc: 0.6346, Val Acc: 0.6441
2025-05-31 08:02:55,738 - Epoch 88/400, Loss: 0.6995, Train Acc: 0.6427, Val Acc: 0.6449
2025-05-31 08:03:33,404 - Epoch 89/400, Loss: 0.7000, Train Acc: 0.6377, Val Acc: 0.6494
2025-05-31 08:04:11,070 - Epoch 90/400, Loss: 0.7013, Train Acc: 0.6377, Val Acc: 0.6494
2025-05-31 08:04:48,563 - Epoch 91/400, Loss: 0.6999, Train Acc: 0.6390, Val Acc: 0.6556
2025-05-31 08:05:26,420 - Epoch 92/400, Loss: 0.6999, Train Acc: 0.6406, Val Acc: 0.6432
2025-05-31 08:06:04,206 - Epoch 93/400, Loss: 0.6940, Train Acc: 0.6453, Val Acc: 0.6525
2025-05-31 08:06:41,995 - Epoch 94/400, Loss: 0.6972, Train Acc: 0.6443, Val Acc: 0.6591
2025-05-31 08:07:19,946 - Epoch 95/400, Loss: 0.6970, Train Acc: 0.6441, Val Acc: 0.6600
2025-05-31 08:07:57,529 - Epoch 96/400, Loss: 0.6916, Train Acc: 0.6421, Val Acc: 0.6569
2025-05-31 08:08:35,143 - Epoch 97/400, Loss: 0.6919, Train Acc: 0.6423, Val Acc: 0.6516
2025-05-31 08:09:12,598 - Epoch 98/400, Loss: 0.6841, Train Acc: 0.6462, Val Acc: 0.6538
2025-05-31 08:09:50,342 - Epoch 99/400, Loss: 0.6912, Train Acc: 0.6463, Val Acc: 0.6618
2025-05-31 08:10:28,082 - Epoch 100/400, Loss: 0.6856, Train Acc: 0.6484, Val Acc: 0.6658
2025-05-31 08:11:05,806 - Epoch 101/400, Loss: 0.6795, Train Acc: 0.6530, Val Acc: 0.6556
2025-05-31 08:11:43,436 - Epoch 102/400, Loss: 0.6816, Train Acc: 0.6485, Val Acc: 0.6658
2025-05-31 08:12:21,307 - Epoch 103/400, Loss: 0.6768, Train Acc: 0.6538, Val Acc: 0.6609
2025-05-31 08:12:58,971 - Epoch 104/400, Loss: 0.6826, Train Acc: 0.6497, Val Acc: 0.6582
2025-05-31 08:13:36,858 - Epoch 105/400, Loss: 0.6772, Train Acc: 0.6526, Val Acc: 0.6600
2025-05-31 08:14:14,371 - Epoch 106/400, Loss: 0.6752, Train Acc: 0.6533, Val Acc: 0.6574
2025-05-31 08:14:52,397 - Epoch 107/400, Loss: 0.6778, Train Acc: 0.6535, Val Acc: 0.6551
2025-05-31 08:15:29,940 - Epoch 108/400, Loss: 0.6773, Train Acc: 0.6499, Val Acc: 0.6600
2025-05-31 08:16:07,571 - Epoch 109/400, Loss: 0.6749, Train Acc: 0.6520, Val Acc: 0.6605
2025-05-31 08:16:45,136 - Epoch 110/400, Loss: 0.6722, Train Acc: 0.6576, Val Acc: 0.6609
2025-05-31 08:17:22,797 - Epoch 111/400, Loss: 0.6725, Train Acc: 0.6569, Val Acc: 0.6489
2025-05-31 08:18:00,328 - Epoch 112/400, Loss: 0.6723, Train Acc: 0.6547, Val Acc: 0.6529
2025-05-31 08:18:37,740 - Epoch 113/400, Loss: 0.6674, Train Acc: 0.6575, Val Acc: 0.6662
2025-05-31 08:19:15,213 - Epoch 114/400, Loss: 0.6643, Train Acc: 0.6608, Val Acc: 0.6556
2025-05-31 08:19:52,908 - Epoch 115/400, Loss: 0.6694, Train Acc: 0.6567, Val Acc: 0.6636
2025-05-31 08:20:30,429 - Epoch 116/400, Loss: 0.6636, Train Acc: 0.6582, Val Acc: 0.6569
2025-05-31 08:21:07,870 - Epoch 117/400, Loss: 0.6637, Train Acc: 0.6638, Val Acc: 0.6631
2025-05-31 08:21:45,337 - Epoch 118/400, Loss: 0.6610, Train Acc: 0.6608, Val Acc: 0.6512
2025-05-31 08:22:23,066 - Epoch 119/400, Loss: 0.6590, Train Acc: 0.6589, Val Acc: 0.6565
2025-05-31 08:23:00,738 - Epoch 120/400, Loss: 0.6571, Train Acc: 0.6633, Val Acc: 0.6534
2025-05-31 08:23:38,228 - Epoch 121/400, Loss: 0.6616, Train Acc: 0.6612, Val Acc: 0.6605
2025-05-31 08:24:15,874 - Epoch 122/400, Loss: 0.6572, Train Acc: 0.6636, Val Acc: 0.6565
2025-05-31 08:24:53,639 - Epoch 123/400, Loss: 0.6578, Train Acc: 0.6674, Val Acc: 0.6605
2025-05-31 08:25:31,041 - Epoch 124/400, Loss: 0.6489, Train Acc: 0.6676, Val Acc: 0.6560
2025-05-31 08:26:08,535 - Epoch 125/400, Loss: 0.6516, Train Acc: 0.6686, Val Acc: 0.6534
2025-05-31 08:26:46,070 - Epoch 126/400, Loss: 0.6518, Train Acc: 0.6680, Val Acc: 0.6636
2025-05-31 08:27:23,602 - Epoch 127/400, Loss: 0.6565, Train Acc: 0.6679, Val Acc: 0.6636
2025-05-31 08:28:01,014 - Epoch 128/400, Loss: 0.6510, Train Acc: 0.6666, Val Acc: 0.6538
2025-05-31 08:28:38,539 - Epoch 129/400, Loss: 0.6507, Train Acc: 0.6630, Val Acc: 0.6569
2025-05-31 08:29:15,732 - Epoch 130/400, Loss: 0.6503, Train Acc: 0.6632, Val Acc: 0.6627
2025-05-31 08:29:53,393 - Epoch 131/400, Loss: 0.6506, Train Acc: 0.6639, Val Acc: 0.6578
2025-05-31 08:30:30,787 - Epoch 132/400, Loss: 0.6545, Train Acc: 0.6649, Val Acc: 0.6618
2025-05-31 08:31:08,136 - Epoch 133/400, Loss: 0.6470, Train Acc: 0.6666, Val Acc: 0.6560
2025-05-31 08:31:45,806 - Epoch 134/400, Loss: 0.6461, Train Acc: 0.6672, Val Acc: 0.6574
2025-05-31 08:32:23,304 - Epoch 135/400, Loss: 0.6442, Train Acc: 0.6761, Val Acc: 0.6574
2025-05-31 08:33:00,381 - Epoch 136/400, Loss: 0.6500, Train Acc: 0.6654, Val Acc: 0.6618
2025-05-31 08:33:37,594 - Epoch 137/400, Loss: 0.6425, Train Acc: 0.6691, Val Acc: 0.6529
2025-05-31 08:34:14,671 - Epoch 138/400, Loss: 0.6472, Train Acc: 0.6637, Val Acc: 0.6662
2025-05-31 08:34:51,698 - Epoch 139/400, Loss: 0.6410, Train Acc: 0.6704, Val Acc: 0.6645
2025-05-31 08:35:28,865 - Epoch 140/400, Loss: 0.6420, Train Acc: 0.6742, Val Acc: 0.6689
2025-05-31 08:36:05,973 - Epoch 141/400, Loss: 0.6372, Train Acc: 0.6703, Val Acc: 0.6773
2025-05-31 08:36:43,065 - Epoch 142/400, Loss: 0.6359, Train Acc: 0.6761, Val Acc: 0.6742
2025-05-31 08:37:20,371 - Epoch 143/400, Loss: 0.6385, Train Acc: 0.6694, Val Acc: 0.6600
2025-05-31 08:37:57,552 - Epoch 144/400, Loss: 0.6404, Train Acc: 0.6692, Val Acc: 0.6733
2025-05-31 08:38:34,727 - Epoch 145/400, Loss: 0.6421, Train Acc: 0.6720, Val Acc: 0.6596
2025-05-31 08:39:11,770 - Epoch 146/400, Loss: 0.6374, Train Acc: 0.6714, Val Acc: 0.6631
2025-05-31 08:39:49,303 - Epoch 147/400, Loss: 0.6359, Train Acc: 0.6752, Val Acc: 0.6746
2025-05-31 08:40:26,227 - Epoch 148/400, Loss: 0.6298, Train Acc: 0.6773, Val Acc: 0.6658
2025-05-31 08:41:03,134 - Epoch 149/400, Loss: 0.6335, Train Acc: 0.6785, Val Acc: 0.6436
2025-05-31 08:41:40,145 - Epoch 150/400, Loss: 0.6295, Train Acc: 0.6761, Val Acc: 0.6605
2025-05-31 08:42:16,965 - Epoch 151/400, Loss: 0.6245, Train Acc: 0.6830, Val Acc: 0.6534
2025-05-31 08:42:54,030 - Epoch 152/400, Loss: 0.6261, Train Acc: 0.6791, Val Acc: 0.6613
2025-05-31 08:43:30,925 - Epoch 153/400, Loss: 0.6292, Train Acc: 0.6759, Val Acc: 0.6649
2025-05-31 08:44:07,771 - Epoch 154/400, Loss: 0.6290, Train Acc: 0.6748, Val Acc: 0.6693
2025-05-31 08:44:44,370 - Epoch 155/400, Loss: 0.6225, Train Acc: 0.6830, Val Acc: 0.6618
2025-05-31 08:45:21,528 - Epoch 156/400, Loss: 0.6215, Train Acc: 0.6813, Val Acc: 0.6605
2025-05-31 08:45:58,334 - Epoch 157/400, Loss: 0.6209, Train Acc: 0.6856, Val Acc: 0.6702
2025-05-31 08:46:35,098 - Epoch 158/400, Loss: 0.6192, Train Acc: 0.6804, Val Acc: 0.6569
2025-05-31 08:47:11,871 - Epoch 159/400, Loss: 0.6176, Train Acc: 0.6854, Val Acc: 0.6658
2025-05-31 08:47:48,482 - Epoch 160/400, Loss: 0.6156, Train Acc: 0.6857, Val Acc: 0.6702
2025-05-31 08:48:25,149 - Epoch 161/400, Loss: 0.6226, Train Acc: 0.6755, Val Acc: 0.6658
2025-05-31 08:49:01,728 - Epoch 162/400, Loss: 0.6129, Train Acc: 0.6844, Val Acc: 0.6760
2025-05-31 08:49:38,233 - Epoch 163/400, Loss: 0.6162, Train Acc: 0.6861, Val Acc: 0.6698
2025-05-31 08:50:14,771 - Epoch 164/400, Loss: 0.6132, Train Acc: 0.6867, Val Acc: 0.6640
2025-05-31 08:50:51,470 - Epoch 165/400, Loss: 0.6152, Train Acc: 0.6879, Val Acc: 0.6733
2025-05-31 08:51:27,865 - Epoch 166/400, Loss: 0.6126, Train Acc: 0.6872, Val Acc: 0.6724
